Rank,Release,Gross,Max_Th,Opening,%_of_Total,Open_Th,Open,Close,Distributor
530,5B,"$72,968",128,"$38,314",52.5%,128,Jun 14,Jul 11,Well Go USA Entertainment
531,Cliffs of Freedom,"$72,476",10,"$16,350",22.6%,6,Mar 1,Apr 18,Round Hill Media
532,3 Faces,"$72,324",7,"$7,065",9.8%,1,Mar 8,Jul 4,Kino Lorber
533,Edie,"$71,790",11,"$8,801",12.3%,7,Sep 6,Dec 26,Music Box Films
534,Storm Boy,"$71,760",56,"$46,676",65%,56,Apr 5,Apr 25,Good Deed Entertainment
535,Free Trip to Egypt,"$71,087",447,"$4,081",5.7%,-,Jun 12,Jun 12,Fathom Events
536,The Battle of Jangsari,"$70,853",20,"$8,552",12.1%,2,Oct 4,-,Well Go USA Entertainment
537,Styx,"$70,794",17,"$3,420",4.8%,1,Feb 27,Jun 13,Film Movement
538,Batman Returns,"$70,642",507,-,-,-,May 6,May 6,Fathom Events
539,Diamantino,"$70,088",5,"$6,412",-,1,May 24,Sep 5,Kino Lorber
540,The Body,"$68,196",78,"$45,996",67.4%,78,Dec 13,-,Eros International
541,The Silence of Others,"$67,986",6,"$7,868",11.6%,1,May 8,-,Argot Pictures
542,The Divine Move 2: The Wrathful,"$67,578",10,"$12,269",18.2%,2,Nov 15,-,CJ Entertainment
543,Being Frank,"$67,343",13,"$16,392",24.3%,3,Jun 14,Jul 11,The Film Arcade
544,By the Grace of God,"$67,059",11,"$7,765",11.6%,2,Oct 18,-,Music Box Films
545,End of the Century,"$66,309",6,"$10,063",15.2%,1,Aug 16,-,The Cinema Guild
546,This Changes Everything,"$64,988",367,-,-,-,Jul 22,Jul 22,Fathom Events
547,Working Woman,"$64,048",7,"$3,875",6.1%,2,Mar 27,Jun 30,Zeitgeist Films
548,Last Year at Marienbad,"$63,425",5,"$7,644",12.1%,1,May 17,-,Janus Films
549,The Cave,"$62,625",10,"$21,185",33.8%,2,Oct 18,-,National Geographic Entertainment
550,Sauvage / Wild,"$61,604",7,"$7,440",12.1%,1,Apr 10,Jun 13,Strand Releasing
551,The Mountain,"$61,035",15,"$15,785",25.9%,2,Jul 26,Oct 31,Kino Lorber
552,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795",459,-,-,-,Nov 11,-,Fathom Events
553,Mickey and the Bear,"$57,188",22,"$9,375",16.4%,1,Nov 15,-,Utopia
554,Recorder: The Marion Stokes Project,"$55,632",5,"$8,216",14.8%,1,Nov 15,-,Zeitgeist Films
555,Heavy Water,"$55,446",284,-,-,-,Jun 13,Jun 13,Fathom Events
556,Making Waves: The Art of Cinematic Sound,"$53,144",11,"$12,348",23.2%,3,Oct 25,-,Matson Films
557,Plácido Domingo Gala,"$52,502",217,"$52,502",100%,217,Sep 7,-,Fathom Events
558,One Cut of the Dead,"$52,406",7,"$6,360",12.1%,2,Sep 13,-,Variance Films
559,QT8: The First Eight,"$51,896",459,-,-,-,Oct 21,-,Fathom Events
560,American Dharma,"$51,891",11,"$7,287",14%,1,Nov 1,-,Utopia
561,Greener Grass,"$51,456",36,"$9,305",18.1%,2,Oct 18,-,IFC Films
562,Sympathy for the Devil,"$51,150",8,"$12,144",23.7%,6,Nov 29,-,IFC Films
563,The White Sheik,"$50,850",3,"$5,562",10.9%,1,Dec 25,-,Rialto Pictures
564,Ophelia,"$50,722",58,"$22,145",43.7%,58,Jun 28,Jul 28,IFC Films
565,Clinton Road,"$50,400",10,"$38,880",77.1%,10,Jun 14,Jun 20,Nocturnal Features
566,"Love, Antosha","$50,168",10,"$7,150",-,1,Aug 2,-,Nocturnal Features
567,Free Trip to Egypt,"$49,693",5,"$1,718",3.5%,1,May 31,-,Nocturnal Features
568,The Bounty Killer,"$48,815",15,"$20,805",42.6%,15,Jan 25,Feb 21,Indican Pictures
569,The Queen,"$47,818",7,"$7,173",15%,1,Jun 28,-,Kino Lorber
570,Under the Silver Lake,"$46,083",2,"$35,270",76.5%,2,Apr 19,Apr 25,A24
571,¡He matado a mi marido!,"$45,777",11,"$18,365",40.1%,11,Mar 1,Jun 20,A24
572,High on the Hog,"$45,696",6,"$15,125",33.1%,5,Apr 19,Jun 20,Indican Pictures
573,The Proposal,"$45,149",6,"$10,449",23.1%,1,May 24,Jul 18,Oscilloscope
574,What Is Democracy?,"$44,536",6,"$6,284",14.1%,1,Jan 16,Apr 25,Zeitgeist Films
575,Maze,"$44,381",9,"$8,308",18.7%,2,Mar 22,May 12,Lightyear Entertainment
576,Carmine Street Guitars,"$44,253",5,"$6,090",13.8%,1,Apr 24,Jun 13,Abramorama
577,For Sama,"$43,796",4,"$9,350",-,3,Jul 26,-,PBS Distribution
578,The Star,"$43,510",623,"$43,510",100%,623,Dec 7,-,Sony Pictures Releasing
579,Fagara,"$43,417",13,"$25,206",58.1%,13,Sep 13,Oct 3,China Lion Film Distribution
580,Immortal Hero,"$43,007",12,"$20,629",48%,12,Oct 18,-,Freestyle Releasing
581,Vita & Virginia,"$42,741",32,"$3,408",8%,1,Aug 23,-,IFC Films
582,Midnight Family,"$42,310",13,"$3,030",7.2%,1,Dec 6,-,1091 Media
583,Union,"$41,656",6,"$11,900",28.6%,4,Aug 2,Nov 7,Indican Pictures
584,Midnight Traveler,"$41,265",7,"$3,549",8.6%,1,Sep 18,-,Oscilloscope
585,Charlie Says,"$40,685",38,"$20,684",50.8%,38,May 10,May 23,IFC Films
586,Slut in a Good Way,"$40,513",7,"$21,567",53.2%,7,Mar 28,Apr 7,Comedy Dynamics
587,Aniara,"$40,124",19,"$19,297",48.1%,19,May 17,Jun 13,Magnolia Pictures
588,The Raft,"$39,678",8,-,-,-,Jun 7,-,Metrograph Pictures
589,Zilla and Zoe,"$39,003",5,"$11,392",29.2%,4,May 17,Sep 1,Indican Pictures
590,Shed of the Dead,"$38,901",10,"$18,960",48.7%,10,May 17,Jun 20,Indican Pictures
591,Batman Forever,"$38,014",434,"$38,014",100%,434,May 12,May 12,Fathom Events
592,The Quiet One,"$37,010",13,"$7,695",20.8%,6,Jun 21,Jul 28,IFC Films
593,The Death of Dick Long,"$36,856",30,"$26,630",72.3%,30,Sep 27,-,A24
594,Britt-Marie Was Here,"$36,549",11,"$4,090",-,3,Sep 20,-,Cohen Media Group
595,The Sower,"$36,233",5,"$4,128",11.4%,2,Mar 1,May 30,Film Movement
596,Buñuel in the Labyrinth of the Turtles,"$36,205",8,"$5,691",15.7%,2,Aug 16,-,GKIDS
597,Yardie,"$36,012",77,"$22,056",61.2%,77,Mar 15,Mar 28,Rialto Pictures
598,Kind Hearts and Coronets,"$35,948",3,"$8,004",22.3%,1,Nov 27,-,Rialto Pictures
599,Loro,"$35,613",11,"$5,317",14.9%,1,Sep 20,-,IFC Films
600,Ága,"$35,178",3,"$2,553",7.3%,1,Sep 4,-,Big World Pictures
601,White Snake,"$34,730",21,"$2,791",8%,1,Nov 15,-,GKIDS
602,Ballon,"$34,222",5,-,-,-,Sep 6,-,Distrib Films
603,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$34,135",30,-,-,-,Aug 5,-,FUNimation Entertainment
604,The Wild Pear Tree,"$34,014",5,"$4,923",14.5%,1,Jan 30,-,The Cinema Guild
605,Killer Unicorn,"$33,901",5,"$15,515",45.8%,5,Jun 14,Sep 1,Indican Pictures
606,Moonlight Sonata: Deafness in Three Movements,"$33,823",12,"$5,424",16%,1,Sep 13,-,Abramorama
607,Redoubt,"$33,155",3,"$5,253",15.8%,1,Nov 1,-,Grasshopper Film
608,An Elephant Sitting Still,"$32,556",2,"$10,854",33.3%,1,Mar 8,Mar 28,Grasshopper Film
609,Knife + Heart,"$32,516",6,"$4,728",14.5%,2,Mar 15,May 9,Altered Innocence
610,An Acceptable Loss,"$32,427",25,"$3,447",10.6%,1,Jan 18,Feb 7,IFC Films
611,10E,"$32,413",2,"$28,863",89%,2,Sep 27,-,IFC Films
612,Desolation Center,"$32,016",10,"$4,938",15.4%,3,Sep 13,-,Matson Films
613,Gift,"$31,588",10,"$4,255",13.5%,2,Oct 11,-,Matson Films
614,The Cat Rescuers,"$31,540",3,"$4,252",13.5%,3,Jul 5,Jul 11,Balcony Releasing
615,Memory: The Origins of Alien,"$31,378",19,"$14,704",46.9%,19,Oct 4,-,Screen Media Films
616,Buddy,"$31,203",4,-,-,-,Mar 20,-,Grasshopper Film
617,Pasolini,"$30,757",4,"$8,362",27.2%,1,May 10,Aug 15,Kino Lorber
618,Sorry Angel,"$30,628",4,"$6,559",21.4%,1,Feb 15,May 9,Strand Releasing
619,Los Reyes,"$30,418",4,"$5,661",18.6%,2,Aug 16,-,Grasshopper Film
620,The Nun,"$30,245",5,"$6,273",20.7%,1,Jan 4,Mar 10,Rialto Pictures
621,Lionel Richie at Glastonbury,"$30,123",288,-,-,-,Nov 19,-,Fathom Events
622,The Perfect Race,"$29,644",2,"$3,400",11.5%,1,Oct 14,-,Five & Two Pictures
623,Vault,"$29,491",2,-,-,-,Jun 7,Jun 13,Five & Two Pictures
624,The Ground Beneath My Feet,"$29,251",4,"$3,295",11.3%,1,Jul 26,-,Strand Releasing
625,Batman & Robin,"$28,597",429,-,-,-,May 14,May 14,Fathom Events
626,The Load,"$28,410",2,"$4,094",14.4%,1,Aug 30,-,Grasshopper Film
627,In the Aisles,"$28,394",6,$922,3.2%,1,Jun 14,-,Music Box Films
628,Hotel by the River,"$28,354",4,"$5,534",19.5%,1,Feb 15,Jun 27,The Cinema Guild
629,The Wind,"$28,252",30,"$14,138",50%,30,Apr 5,Apr 18,IFC Films
630,El Norte,"$27,920",179,"$27,920",100%,179,Sep 15,-,Fathom Events
631,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073",3,"$4,248",15.7%,1,May 29,-,Greenwich Entertainment
632,The Day Shall Come,"$26,972",30,"$14,854",55.1%,30,Sep 27,-,IFC Films
633,Wrestle,"$26,597",5,"$6,027",22.7%,1,Feb 22,Apr 21,Oscilloscope
634,Donnybrook,"$26,284",80,"$9,802",37.3%,80,Feb 15,Feb 27,IFC Films
635,Asako I & II,"$25,559",3,"$5,690",22.3%,2,May 17,-,Grasshopper Film
636,The Final Wish,"$25,183",150,-,-,-,Jan 24,-,Fathom Events
637,The Disappearance of My Mother,"$24,951",3,-,-,-,Dec 6,-,Kino Lorber
638,Light from Light,"$24,808",5,"$4,719",19%,2,Nov 1,-,Grasshopper Film
639,Hyènes,"$24,672",4,-,-,-,Apr 19,-,Metrograph Pictures
640,Chasing Einstein,"$24,057",4,"$9,708",40.4%,4,Sep 13,-,Atlas Distribution Company
641,Tremors,"$23,911",6,"$3,340",14%,4,Nov 29,-,Film Movement
642,Little Joe,"$23,862",12,"$10,626",44.5%,12,Dec 6,-,Magnolia Pictures
643,Piranhas,"$23,494",10,"$2,898",12.3%,1,Aug 2,-,Music Box Films
644,Celebration,"$22,557",1,"$5,034",22.3%,1,Oct 2,-,Music Box Films
645,Wicked Witches,"$21,600",10,"$21,600",100%,10,Aug 9,-,Nocturnal Features
646,The Hole in the Ground,"$21,072",24,-,-,-,Mar 1,Mar 7,A24
647,Round of Your Life,"$20,941",9,"$4,336",20.7%,4,Jun 21,-,Ammo Content
648,The All Americans,"$20,324",5,"$7,805",38.4%,3,Nov 8,-,Abramorama
649,Light of My Life,"$20,056",68,"$9,358",46.7%,28,Aug 9,-,Saban Films
650,General Magic,"$20,046",5,"$2,267",11.3%,5,May 10,-,Gravitas Ventures
651,The Gospel of Eureka,"$20,039",3,"$3,517",17.6%,1,Feb 8,Apr 11,Kino Lorber
652,The Sound of Silence,"$20,013",31,"$5,449",27.2%,2,Sep 13,-,IFC Films
653,Prassthanam,"$19,984",32,"$12,737",63.7%,32,Sep 20,-,IFC Films
654,Leo Da Vinci: Mission Mona Lisa,"$19,978",25,"$19,978",-,25,Aug 2,-,Ammo Content
655,Armstrong,"$19,740",45,"$3,071",15.6%,12,Jul 12,Jul 25,Gravitas Ventures
656,Girls of the Sun,"$19,712",11,"$7,801",39.6%,8,Apr 12,Apr 25,Cohen Media Group
657,Out of Blue,"$18,779",35,"$11,719",62.4%,35,Mar 22,Mar 28,IFC Films
658,Black Mother,"$18,762",4,-,-,-,Mar 9,Jun 13,Grasshopper Film
659,Scandalous: The True Story of the National Enquirer,"$18,759",13,"$10,837",57.8%,12,Nov 15,-,Magnolia Pictures
660,Before Stonewall,"$18,724",2,"$4,588",24.5%,1,Jun 21,Jul 11,First Run
661,The Return of Martin Guerre,"$18,603",2,"$8,682",46.7%,2,Jul 5,Jul 18,Cohen Media Group
662,Midnight Diner,"$18,555",13,"$10,861",58.5%,13,Sep 20,-,Well Go USA Entertainment
663,"Phoenix, Oregon","$18,356",6,"$2,981",16.2%,1,May 2,Jun 20,Joma Films
664,The Cranes Are Flying,"$17,923",2,-,-,-,Jul 12,-,Janus Films
665,Chained for Life,"$17,431",3,"$7,415",42.5%,2,Sep 13,Jan 9,Kino International
666,Ode to Joy,"$17,303",16,"$3,568",20.6%,2,Aug 9,-,IFC Films
667,Bauhaus Spirit: 100 Years of Bauhaus,"$17,122",2,-,-,-,Feb 10,May 16,Icarus Films
668,Joseph Pulitzer: Voice of the People,"$16,970",5,"$5,686",33.5%,1,Mar 1,Mar 17,First Run
669,Too Late to Die Young,"$16,591",4,"$6,196",37.3%,1,May 31,Jun 13,First Run
670,Three Peaks,"$16,216",7,"$1,419",8.8%,1,Jun 28,-,Greenwich Entertainment
671,Virginia Minnesota,"$16,118",2,"$3,844",23.8%,2,Mar 1,May 2,Indican Pictures
672,Piercing,"$15,856",18,"$8,752",55.2%,18,Feb 1,Feb 14,Greenwich Entertainment
673,Starfish,"$15,849",6,-,-,-,Mar 15,Apr 25,Yellow Veil Pictures
674,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712",95,"$14,853",94.5%,18,Mar 29,Apr 1,Atlas Distribution Company
675,The Competition,"$15,622",7,-,-,-,Feb 22,-,Metrograph Pictures
676,Stuffed,"$15,532",3,"$1,602",10.3%,1,Oct 16,-,Music Box Films
677,Between the Lines,"$15,383",18,-,-,1,Feb 22,-,Cohen Media Group
678,Funan,"$15,152",5,"$1,871",12.3%,1,Jun 7,Jul 11,GKIDS
679,Wrinkles the Clown,"$14,938",21,"$28,248",189.1%,21,Oct 4,-,Magnolia Pictures
680,ZZ Top: That Little Ol' Band from Texas,"$14,879",8,-,-,-,Aug 19,-,Abramorama
681,Our Time,"$14,777",4,"$3,000",-,1,Jun 14,-,Monument Releasing
682,My Son,"$14,450",5,"$4,750",32.9%,3,May 10,May 27,Cohen Media Group
683,Combat Obscura,"$14,242",11,"$10,112",71%,10,Mar 15,Apr 4,Oscilloscope
684,Screwball,"$13,967",13,"$8,595",61.5%,13,Mar 29,Apr 25,Greenwich Entertainment
685,Touch Me Not,"$13,782",1,"$5,616",40.7%,1,Jan 11,Mar 7,Kino Lorber
686,This One's for the Ladies,"$13,688",21,"$13,688",100%,1,Jun 7,-,Kino Lorber
687,Rapid Response,"$13,294",10,"$4,497",33.8%,8,Sep 6,-,Atlas Distribution Company
688,Hagazussa,"$13,253",14,"$6,041",45.6%,11,Apr 19,May 30,Doppelganger Releasing
689,Duet for Cannibals,"$12,962",4,-,-,-,Nov 22,-,Metrograph Pictures
690,Off Season,"$12,544",2,"$2,536",20.2%,2,Mar 15,May 23,Indican Pictures
691,Bricked,"$12,201",7,-,-,-,Jan 24,-,GathrFilms
692,Zen for Nothing,"$12,107",4,"$1,268",10.5%,2,Mar 29,Jun 20,Zeitgeist Films
693,Imprisoned,"$12,050",2,"$4,381",36.4%,1,Sep 13,-,Cinema Libre Studio
694,Quartet,"$12,042",1,"$5,150",42.8%,1,May 3,May 19,Cohen Media Group
695,"Cassandro, The Exotico!","$11,897",4,"$2,269",19.1%,1,Jul 19,-,Film Movement
696,Hollywould,"$11,888",2,"$5,290",44.5%,2,Nov 15,-,Indican Pictures
697,Yomeddine,"$11,308",4,"$4,013",35.5%,4,May 31,-,Strand Releasing
698,I Do Not Care If We Go Down in History as Barbarians,"$11,307",2,"$2,083",18.4%,1,Jul 19,-,Big World Pictures
699,In Like Flynn,"$11,255",27,"$6,646",59%,27,Jan 25,-,Blue Fox Entertainment
700,Made Me Do It,"$11,151",2,"$3,842",34.5%,2,Apr 12,Jun 20,Indican Pictures
701,Ferrante Fever,"$11,137",3,"$3,509",31.5%,1,Mar 8,Apr 25,Greenwich Entertainment
702,Suburban Birds,"$10,997",3,"$3,207",29.2%,1,Apr 5,-,The Cinema Guild
703,16 Bars,"$10,985",4,"$2,662",24.2%,1,Nov 8,-,Lightyear Entertainment
704,If the Dancer Dances,"$10,912",6,"$5,000",-,1,Apr 26,May 16,Monument Releasing
705,Shooting the Mafia,"$10,881",3,"$3,251",29.9%,2,Nov 22,-,Cohen Media Group
706,Vision Portraits,"$10,771",3,-,-,-,Aug 9,-,Cohen Media Group
707,Daughter of Mine,"$10,628",2,"$5,447",51.3%,2,Feb 1,Feb 14,Strand Releasing
708,Intuitions,"$10,606",3,"$3,407",32.1%,3,Oct 25,Nov 14,Indican Pictures
709,The Eyes of Orson Welles,"$10,253",2,"$2,372",23.1%,1,Mar 15,Apr 18,Janus Films
710,Olivia,"$9,934",3,"$3,948",39.7%,3,Aug 16,-,Icarus Films
711,Streetwise,"$9,904",1,"$5,006",50.5%,1,Jul 19,Aug 1,Janus Films
712,The Spanish Prisoner,"$9,589",1,"$2,679",27.9%,1,Apr 26,-,Ammo Content
713,Fritz Lang's Indian Epic,"$9,345",1,"$4,401",47.1%,1,Sep 27,-,Film Movement
714,When Lambs Become Lions,"$9,337",2,"$3,155",-,1,Nov 22,-,Oscilloscope
715,The Aspern Papers,"$9,277",10,"$9,277",-,10,Jan 11,-,Cohen Media Group
716,Cracked Up,"$9,197",1,"$5,310",57.7%,1,Sep 13,-,Abramorama
717,The Hottest August,"$9,163",2,"$3,883",42.4%,2,Nov 15,-,Grasshopper Film
718,Frantz Fanon: Black Skin White Mask,"$9,025",1,"$3,278",36.3%,1,Mar 15,-,Film Movement
719,The Meanest Man in Texas,"$8,850",3,"$5,750",65%,3,May 17,May 26,Ammo Content
720,That Part Feeling - the Universe of Arvo Part,"$8,812",3,-,-,-,Jun 3,-,Film Movement
721,The Dead Center,"$8,320",10,"$5,325",64%,10,Oct 11,-,Arrow Films
722,The Etruscan Smile,"$8,213",4,"$6,729",81.9%,4,Nov 8,-,Lightyear Entertainment
723,Grass,"$8,084",2,"$2,774",34.3%,1,Apr 19,-,The Cinema Guild
724,Angels Are Made Of Light,"$7,919",2,"$1,707",21.6%,1,Jul 26,-,Grasshopper Film
725,This Magnificent Cake!,"$7,888",2,$991,12.6%,1,Mar 1,Apr 18,GKIDS
726,Ghost Fleet,"$7,850",7,-,-,-,Jun 7,Jun 16,Abramorama
727,The Plagiarists,"$7,768",1,"$4,577",58.9%,1,Jun 28,Jul 4,Abramorama
728,Gregory's Girl,"$7,710",1,"$4,185",54.3%,1,Oct 4,-,Film Movement
729,I'll Take Your Dead,"$7,692",5,"$1,963",25.5%,4,Jul 5,-,Film Movement
730,King of Thieves,"$7,518",11,"$3,502",46.6%,11,Jan 25,Feb 7,Saban Films
731,Beloved Beast,"$7,301",3,"$3,894",53.3%,3,Oct 11,-,Indican Pictures
732,Rosie,"$6,839",2,"$2,942",43%,2,Jul 19,-,Blue Fox Entertainment
733,Genesis,"$6,784",2,"$2,585",38.1%,1,Aug 23,-,Film Movement
734,Going Attractions: The Definitive Story of the Movie Palace,"$6,763",6,$803,11.9%,-,Oct 24,-,Film Movement
735,Dying to Survive,"$6,752",2,"$3,238",48%,2,Aug 9,Sep 22,China Lion Film Distribution
736,"One Nation, One King","$6,576",5,$595,9%,1,Feb 28,-,Distrib Films
737,Spiral Farm,"$6,517",3,"$5,475",-,3,Dec 13,Jan 23,Indican Pictures
738,Under the Eiffel Tower,"$6,291",11,"$3,957",62.9%,11,Feb 8,Feb 14,The Orchard
739,Patrick the Pug,"$6,290",100,"$1,378",21.9%,10,Feb 15,Feb 21,The Orchard
740,To Be of Service,"$6,173",1,"$1,904",30.8%,1,Nov 1,-,First Run
741,The Golden Glove,"$6,160",5,"$2,300",37.3%,5,Sep 27,-,Strand Releasing
742,Relaxer,"$6,133",5,-,-,-,Mar 29,-,Oscilloscope
743,Blood Widow,"$6,047",2,-,-,-,Aug 4,Jan 30,Indican Pictures
744,Love Goes Public,"$5,700",-,"$5,700",100%,-,Oct 25,-,Aspiration Entertainment
745,Série noire,"$5,633",1,"$2,088",37.1%,1,Sep 27,-,Rialto Pictures
746,The Miracle of the Little Prince,"$5,553",1,"$2,643",47.6%,1,Aug 28,-,Film Movement
747,Chokehold,"$5,200",3,"$5,200",100%,3,Mar 1,-,Ammo Content
748,The Gliksmans,"$5,166",3,"$2,922",56.6%,3,Sep 27,Jan 23,Indican Pictures
749,100 Acres of Hell,"$5,152",1,$997,19.4%,1,Oct 11,-,Indican Pictures
750,Body at Brighton Rock,"$5,123",9,"$1,732",33.8%,8,Apr 26,May 16,Magnolia Pictures
751,Cold Blood,"$5,083",25,"$3,450",67.9%,25,Jul 5,Jul 11,Screen Media Films
752,Chulas Fronteras,"$5,021",1,"$3,548",70.7%,1,Jun 28,Jul 4,Argot Pictures
753,The Garden,"$5,006",1,"$1,141",22.8%,1,May 29,Jun 6,Kino Lorber
754,Malek,"$4,898",4,"$2,226",45.4%,3,Jan 18,Jan 31,Entertainment One
755,Crepitus,"$4,846",2,"$1,790",36.9%,1,Oct 31,Nov 14,Indican Pictures
756,Ballet Blanc,"$4,832",2,"$1,894",39.2%,2,Nov 8,-,Indican Pictures
757,What You Gonna Do When the World's on Fire?,"$4,672",1,-,-,-,Aug 16,-,Indican Pictures
758,Slaughterhouse Rulez,"$4,665",10,"$2,145",46%,10,May 17,May 23,Sony Pictures Releasing
759,At War,"$4,605",1,"$1,405",30.5%,1,Jul 19,-,Cinema Libre Studio
760,I'm Leaving Now,"$4,488",1,"$1,255",28%,1,Sep 6,-,The Cinema Guild
761,SGT. Will Gardner,"$4,405",12,-,-,-,Jan 11,-,Cinedigm Entertainment Group
762,Tito and the Birds,"$4,332",6,-,-,-,Jan 25,Feb 7,Shout! Factory
763,The Fate of Lee Khan,"$4,295",3,"$1,648",38.4%,1,Apr 5,Jun 27,Film Movement
764,State Like Sleep,"$4,282",10,"$2,813",65.7%,10,Jan 4,Jan 10,The Orchard
765,Chinese Portrait,"$4,140",2,$546,13.2%,1,Dec 13,-,The Cinema Guild
766,La Flor,"$4,032",1,"$2,308",57.2%,1,Aug 9,-,Grasshopper Film
767,Mother of a Day,"$3,919",1,"$2,672",68.2%,1,May 4,-,Sumbadhat Productions
768,Crown Vic,"$3,868",1,"$2,468",63.8%,1,Nov 8,-,Screen Media Films
769,Wallflower,"$3,801",7,"$2,378",62.6%,1,Oct 4,-,Screen Media Films
770,The Wandering Soap Opera,"$3,624",2,$512,14.1%,1,May 17,-,The Cinema Guild
771,Rottentail,"$3,383",3,"$2,256",66.7%,3,Apr 12,Apr 28,Ammo Content
772,Another Day of Life,"$3,190",2,"$1,691",53%,2,Sep 13,-,GKIDS
773,Chasing Portraits,"$3,076",1,"$1,708",55.5%,1,Apr 26,May 19,First Run
774,The Kindness of Strangers,"$2,705",3,$839,31%,3,Dec 6,-,First Run
775,Back to the Fatherland,"$2,697",1,"$1,312",48.6%,1,Jun 14,Jun 30,First Run
776,Joan the Maid 1: The Battles,"$2,562",1,"$1,229",48%,1,Aug 2,-,Cohen Media Group
777,TINY: The Life of Erin Blackwell,"$2,465",1,"$1,631",66.2%,1,Jul 19,Aug 1,Janus Films
778,I Lost Albert,"$2,354",1,"$2,354",100%,1,Oct 4,-,Distrib Films
779,A German Youth,"$2,343",1,$416,17.8%,1,Oct 11,-,Big World Pictures
780,Serendipity,"$2,298",2,"$1,156",50.3%,2,Oct 18,-,Cohen Media Group
781,Iceman,"$2,138",7,"$1,372",64.2%,7,Mar 15,Mar 28,Film Movement
782,Jihadists,"$2,104",1,$824,39.2%,1,Jan 25,Feb 7,Cinema Libre Studio
783,A Fish in the Bathtub,"$1,826",3,"$1,237",67.7%,3,Nov 8,-,Cohen Media Group
784,In Safe Hands,"$1,737",1,$348,20%,1,Jul 26,-,Distrib Films
785,Little Q,"$1,652",1,"$1,652",100%,1,Dec 6,-,Well Go USA Entertainment
786,Game Day,"$1,624",4,"$1,624",100%,4,Oct 4,-,Ammo Content
787,American Playhouse: The Killing Floor,"$1,583",1,"$1,583",100%,1,Nov 22,-,Film Movement
788,The Hours and Times,"$1,273",1,"$1,273",100%,1,Mar 1,-,Oscilloscope
789,The Untold Story,$790,1,$790,100%,1,Jan 18,-,Ammo Content
790,Tall Tales from the Magical Garden of Antoon Krings,$220,20,-,-,-,Jan 11,-,Ammo Content
